,lat,lon,street,city,province,postal_code,style,price,number_of_beds,number_of_baths,extra_space
134,44.000429,-77.148249,29 3RD Avenue S,Saugeen Indian Reserve 29,Ontario,N0H 2G0,Detached,279900,3,1,0
135,44.647651,-77.12162,113277 HIGHWAY 7,Kaladar,Ontario,K0H 1Z0,Detached,269000,3,1,0
136,44.9013316,-76.0212062,4 PEARL STREET UNIT#F,Smiths Falls,Ontario,K7A 5B5,Townhouse,257900,2,1,0
137,43.2855122,-80.4507012,673 BRANT-WATERLOO Road Unit# 229,Ayr,Ontario,N0B 1E0,Detached,100000,1,1,0
138,43.602637,-79.506096,#82 -82 HEMAN ST,Toronto,Ontario,M8V 1X5,Detached,99900,2,2,1
139,43.7941544,-79.5268023,33 SCUFFLER DR,Vaughan,Ontario,L6A 4Y7,Detached,2999888,4,5,0
140,43.621861,-79.943877,11134 5 SIDE RD,Halton Hills,Ontario,L7G 4S6,Detached,2999000,4,4,0
141,43.2556116,-79.0723264,14541 NIAGARA RIVER PKWY,Niagara-on-the-Lake,Ontario,L0S 1L0,Detached,2998800,4,4,1
142,44.0034771,-79.60477076446632,15415 JANE ST,King,Ontario,L7B 1A3,Detached,2995000,3,3,0
143,44.3596825,-78.7421729,31 WISPI SHORE RD,Kawartha Lakes,Ontario,K9V 0K4,Detached,2900000,6,6,0
144,44.014469,-79.323704,4282 VIVIAN RD,Whitchurch-Stouffville,Ontario,L4A 1Z2,Detached,2888000,4,3,1
145,43.780366,-79.34786,57 ALAMOSA DR,Toronto,Ontario,M2J 2N8,Detached,2790000,3,3,1
146,43.447436,-79.666672,121 WATERVIEW COMMON,Oakville,Ontario,L6L 0E7,Detached,2699200,4,4,0
147,44.3150892,-79.5461073,3696 FERRETTI CRT,Innisfil,Ontario,L9S 0N6,Detached,2699000,4,5,0
148,43.3248924,-79.7966835,643 WEST OVAL Drive,Burlington,Ontario,L7T 1C1,Detached,2698000,3,4,1
149,43.7941544,-79.5268023,40 DEAN PL,Vaughan,Ontario,L3L 0A8,Detached,2650000,3,4,1
150,43.6858146,-79.7599337,48 FOOTHILLS CRES,Brampton,Ontario,L6P 4G9,Detached,2599900,5,5,1
151,44.0034771,-79.60477076446632,13066 KEELE ST,King,Ontario,L7B 1H8,Detached,2599000,3,2,0
